period,posts,avg_sentiment,positive_rate,negative_rate,rolling_mean,rolling_std,z_score,trend_flag
2017-03-24,21,0.7619047619047619,0.8571428571428571,0.09523809523809523,0.7744674466316611,0.1195238964502406,-0.10510605075637965,normal
2017-03-25,126,0.8492063492063492,0.9126984126984127,0.06349206349206349,0.7952535388463249,0.1178061513489331,0.4579795684880671,normal
2017-03-26,67,0.7611940298507462,0.835820895522388,0.07462686567164178,0.791038732479488,0.11852192334279552,-0.25180744445416453,normal
2017-03-27,43,0.7209302325581395,0.8372093023255814,0.11627906976744186,0.7599179785300676,0.10049395907330769,-0.3879610907108116,normal
2017-03-28,33,0.9393939393939394,0.9696969696969697,0.030303030303030304,0.8107837793958684,0.08515905763734581,1.5102346546125949,normal
2017-03-29,25,0.32,0.64,0.32,0.7279266365387257,0.19509161601161837,-2.090949087809249,negative_spike
2017-03-30,13,1.0,1.0,0.0,0.7646613304162767,0.22087679928503642,1.0654748273494499,normal
2017-03-31,125,0.888,0.912,0.024,0.7826749358584536,0.225703626337709,0.4666520686909736,normal
2017-04-01,49,0.8163265306122449,0.8775510204081632,0.061224489795918366,0.7779778189164387,0.22442679659018328,0.17087403232793658,normal
2017-04-02,26,0.46153846153846156,0.6923076923076923,0.23076923076923078,0.7351698805861123,0.2546987947884464,-1.074333387697927,normal
2017-04-03,39,0.8205128205128205,0.8717948717948718,0.05128205128205128,0.7493959645796381,0.2565452643488605,0.2772097786084052,normal
2017-04-04,45,0.8222222222222222,0.8888888888888888,0.06666666666666667,0.7326571478408213,0.24567456571208804,0.3645679564825787,normal
2017-04-05,11,0.5454545454545454,0.7272727272727273,0.18181818181818182,0.7648649400486136,0.19132583592339236,-1.1467891596298632,normal
2017-04-06,22,0.45454545454545453,0.6818181818181818,0.22727272727272727,0.6869428621265355,0.19067432444766957,-1.21881857064013,normal
2017-04-07,126,0.8809523809523809,0.9206349206349206,0.03968253968253968,0.6859360594054472,0.18945043906194545,1.0293790952005573,normal
2017-04-08,49,0.6938775510204082,0.7959183673469388,0.10204081632653061,0.6684433480351848,0.18086285818014147,0.1406270101066887,normal
2017-04-09,29,0.7931034482758621,0.8620689655172413,0.06896551724137931,0.7158097747119563,0.15984038951271165,0.48356785040090805,normal
2017-04-10,16,0.5625,0.6875,0.125,0.6789508003529819,0.1614129135706187,-0.7214466164879324,normal
2017-04-11,31,0.8709677419354839,0.8709677419354839,0.0,0.685914446026305,0.16947425124334534,1.0919257323843479,normal
2017-04-12,28,0.39285714285714285,0.6071428571428571,0.21428571428571427,0.664114817083819,0.19797144723625262,-1.3701858425218572,normal
2017-04-13,22,0.5454545454545454,0.7272727272727273,0.18181818181818182,0.6771018300708319,0.18445255412030348,-0.7137189573987879,normal
2017-04-14,76,0.8552631578947368,0.9210526315789473,0.06578947368421052,0.673431941062597,0.17992063220994484,1.0106190412890814,normal
2017-04-15,47,0.9574468085106383,0.9787234042553191,0.02127659574468085,0.7110846921326299,0.20998052199031314,1.1732617580090292,normal
2017-04-16,30,0.5,0.7,0.2,0.6692127709503639,0.2198892843004303,-0.7695362304202688,normal
2017-04-17,38,0.5526315789473685,0.7631578947368421,0.21052631578947367,0.6678029965142737,0.22071755356040546,-0.5218045221554404,normal
2017-04-18,25,0.52,0.72,0.2,0.6176647476663474,0.20626452866481892,-0.4734926955136002,normal
