period,posts,avg_sentiment,positive_rate,negative_rate
2015-11-17,19,0.5263157894736842,0.6842105263157895,0.15789473684210525
2015-11-18,17,0.5882352941176471,0.7647058823529411,0.17647058823529413
2015-11-19,2,0.0,0.5,0.5
2015-11-20,11,0.2727272727272727,0.5454545454545454,0.2727272727272727
2015-11-21,15,0.5333333333333333,0.6666666666666666,0.13333333333333333
2015-11-22,23,0.6521739130434783,0.782608695652174,0.13043478260869565
2015-11-23,12,0.6666666666666666,0.75,0.08333333333333333
2015-11-24,17,0.7058823529411765,0.8235294117647058,0.11764705882352941
2015-11-25,16,0.5,0.6875,0.1875
2015-11-26,5,0.4,0.6,0.2
2015-11-27,10,0.8,0.9,0.1
2015-11-28,6,0.6666666666666666,0.8333333333333334,0.16666666666666666
2015-11-29,18,0.5555555555555556,0.7222222222222222,0.16666666666666666
2015-11-30,17,0.5294117647058824,0.7647058823529411,0.23529411764705882
2015-12-01,10,1.0,1.0,0.0
2015-12-02,16,0.875,0.9375,0.0625
2015-12-03,12,0.8333333333333334,0.9166666666666666,0.08333333333333333
2015-12-04,24,0.5833333333333334,0.75,0.16666666666666666
2015-12-05,12,0.8333333333333334,0.8333333333333334,0.0
2015-12-06,10,1.0,1.0,0.0
2015-12-07,11,0.2727272727272727,0.6363636363636364,0.36363636363636365
2015-12-08,6,1.0,1.0,0.0
2015-12-09,12,0.6666666666666666,0.75,0.08333333333333333
2015-12-10,17,0.8823529411764706,0.8823529411764706,0.0
2015-12-11,14,1.0,1.0,0.0
2015-12-12,5,-0.2,0.2,0.4
2015-12-13,18,1.0,1.0,0.0
2015-12-14,18,0.7222222222222222,0.8333333333333334,0.1111111111111111
2015-12-15,19,0.3684210526315789,0.631578947368421,0.2631578947368421
2015-12-16,6,0.16666666666666666,0.5,0.3333333333333333
2015-12-17,11,0.6363636363636364,0.8181818181818182,0.18181818181818182
2015-12-18,10,0.7,0.8,0.1
2015-12-19,12,-0.25,0.3333333333333333,0.5833333333333334
2015-12-20,12,0.5,0.75,0.25
2015-12-21,19,0.42105263157894735,0.6842105263157895,0.2631578947368421
2015-12-22,10,0.5,0.7,0.2
2015-12-23,13,0.9230769230769231,0.9230769230769231,0.0
2015-12-24,6,0.8333333333333334,0.8333333333333334,0.0
2015-12-25,12,0.4166666666666667,0.6666666666666666,0.25
2015-12-26,13,0.46153846153846156,0.6153846153846154,0.15384615384615385
